ID,VIDEO,LABEL,CATEGORY
1,D0151B.mp4,ông bà,Từ đơn giản thường gặp
2,D0151T.mp4,ông bà,Từ đơn giản thường gặp
3,D0151N.mp4,ông bà,Từ đơn giản thường gặp
4,D0153B.mp4,em họ,Từ đơn giản thường gặp
5,D0153N.mp4,em họ,Từ đơn giản thường gặp
6,D0153T.mp4,em họ,Từ đơn giản thường gặp
7,D0154B.mp4,cháu họ,Từ đơn giản thường gặp
8,D0154N.mp4,cháu họ,Từ đơn giản thường gặp
9,D0154T.mp4,cháu họ,Từ đơn giản thường gặp
10,D0192B.mp4,xem,Từ đơn giản thường gặp
11,D0192N.mp4,xem,Từ đơn giản thường gặp
12,D0192T.mp4,xem,Từ đơn giản thường gặp
13,W00004B.mp4,ai,Từ đơn giản thường gặp
14,W00004N.mp4,ai,Từ đơn giản thường gặp
15,W00004T.mp4,ai,Từ đơn giản thường gặp
16,W00024.mp4,sáng,Từ đơn giản thường gặp
17,W00028.mp4,áo,Từ đơn giản thường gặp
18,W00110B.mp4,bạn,Từ đơn giản thường gặp
19,W00110T.mp4,bạn,Từ đơn giản thường gặp
20,W00110N.mp4,bạn,Từ đơn giản thường gặp
